PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2022/08/25,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1406,927,83
2022/05/20,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1164,966,27
2022/07/08,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,995,731,70
2022/03/08,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,0
2022/11/04,990715,ST. JOHN'S / ILS OH4011,1,0,0
2023/02/02,800214,ST JOHN'S / ILC 1240,715,608,89
2023/01/13,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1268,902,58
2022/08/11,990706,BSS 1330 ST JOHN'S ORIGINATING,313,199,13
2023/02/17,990706,BSS 1330 ST JOHN'S ORIGINATING,506,318,34
2022/11/22,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2450,1072,510
2023/02/13,862380,TORONTO GW BMF / EUS SS 1023,21579,19342,1692
2022/12/01,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1749,830,826
2022/09/02,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,532,258,74
2021/08/26,862380,TORONTO GW BMF / EUS SS 1023,1,1,0
2021/06/23,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,1,0
2022/09/02,862380,TORONTO GW BMF / EUS SS 1023,18757,12971,4791
2022/03/03,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2022/05/23,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,47,45,0
2023/05/24,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,3,2,0
2022/10/21,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,503,270,15
2023/05/18,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2,2,0
2023/02/02,990706,BSS 1330 ST JOHN'S ORIGINATING,575,325,92
2022/05/18,800214,ST JOHN'S / ILC 1240,163,141,7
2021/11/22,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2,0,0
2023/05/23,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,2,2,0
2022/11/01,800214,ST JOHN'S / ILC 1240,553,547,3
2023/01/18,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,753,489,41
