PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2023/04/12,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1281,757,218
2023/03/27,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,479,386,3
2022/11/07,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,636,569,43
2021/12/21,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1,1,0
2023/04/27,862380,TORONTO GW BMF / EUS SS 1023,17750,12932,3627
2023/02/24,800509,TORONTO GW BMF / LPS 1021,16512,10894,5106
2022/05/30,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,740,613,24
2022/05/18,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2200,1583,236
2023/02/10,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1175,786,90
2022/06/30,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1072,911,54
2022/07/08,862380,TORONTO GW BMF / EUS SS 1023,10090,6409,2607
2022/07/26,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1803,1398,215
2021/12/22,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1,1,0
2023/01/11,800214,ST JOHN'S / ILC 1240,1002,703,277
2022/10/17,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1255,1166,60
2023/01/26,990706,BSS 1330 ST JOHN'S ORIGINATING,520,412,58
2023/05/15,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,65,10,47
2023/05/09,800509,TORONTO GW BMF / LPS 1021,24611,20156,3760
2023/03/30,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1478,986,73
2022/08/31,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1522,1041,207
2023/02/13,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,961,928,11
2023/02/09,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,826,552,43
2022/04/28,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,17,12,1
2022/08/03,800509,TORONTO GW BMF / LPS 1021,25661,16668,6772
2022/05/17,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2186,1357,184
2022/11/14,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,810,745,18
2023/05/17,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,10,1,1
2022/11/07,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1206,1095,53
2022/09/23,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1042,464,39
2023/02/01,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2052,1327,152
2022/12/07,862380,TORONTO GW BMF / EUS SS 1023,38482,28395,8451
2022/04/04,862380,TORONTO GW BMF / EUS SS 1023,10,6,2
2023/01/19,990706,BSS 1330 ST JOHN'S ORIGINATING,510,412,24
2022/01/19,862380,TORONTO GW BMF / EUS SS 1023,3,0,1
2022/03/01,862380,TORONTO GW BMF / EUS SS 1023,1,0,0
2022/05/18,862380,TORONTO GW BMF / EUS SS 1023,29275,22577,5327
2023/02/28,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1867,1238,338
2022/05/26,990715,ST. JOHN'S / ILS OH4011,2,0,0
2022/07/28,800214,ST JOHN'S / ILC 1240,1130,702,372
2022/08/04,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1412,1014,123
2023/02/23,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,617,396,101
2023/05/02,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,870,454,85
2022/05/31,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1559,957,344
2023/02/15,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1095,716,107
2021/12/20,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1,1,0
2022/07/15,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1972,1845,43
2021/12/29,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,1,0
2023/01/18,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1677,1093,112
2022/05/02,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,277,235,12
2022/06/22,862380,TORONTO GW BMF / EUS SS 1023,23912,19061,3690
2022/04/19,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,1
2023/05/12,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,860,672,9
2022/12/19,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1035,969,21
2022/09/23,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1808,1427,130
2023/05/03,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1866,974,152
2022/07/12,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1446,967,149
2022/06/29,862380,TORONTO GW BMF / EUS SS 1023,18194,13758,3386
2023/04/27,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1669,1165,108
2023/01/11,990706,BSS 1330 ST JOHN'S ORIGINATING,1037,513,247
2022/11/03,800509,TORONTO GW BMF / LPS 1021,24258,19851,3334
2022/06/24,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,538,380,13
2023/04/10,800509,TORONTO GW BMF / LPS 1021,10377,8331,658
2022/06/01,800509,TORONTO GW BMF / LPS 1021,20701,16911,3154
2022/06/02,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1204,920,158
2023/03/08,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1503,1264,68
2022/08/08,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,623,579,9
2023/01/19,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,636,437,52
2022/11/23,800509,TORONTO GW BMF / LPS 1021,32724,22960,8278
2023/01/23,800214,ST JOHN'S / ILC 1240,829,795,17
2022/03/28,800214,ST JOHN'S / ILC 1240,1,0,0
2022/06/28,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1194,812,74
2022/08/08,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,636,521,24
2022/08/08,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1008,826,8
2022/06/14,862380,TORONTO GW BMF / EUS SS 1023,31474,23267,5613
2022/05/06,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1103,823,46
2023/01/16,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,987,916,28
2022/05/20,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1079,824,143
2023/04/06,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1849,1370,43
2023/02/16,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1076,780,19
2021/12/03,800509,TORONTO GW BMF / LPS 1021,3,1,1
2023/03/08,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1380,991,84
2022/01/26,862380,TORONTO GW BMF / EUS SS 1023,4,0,1
2022/12/20,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2083,1357,535
2021/12/27,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1,1,0
2021/06/25,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1,0,0
2023/02/14,990715,ST. JOHN'S / ILS OH4011,3,0,0
2022/11/07,800509,TORONTO GW BMF / LPS 1021,16847,14856,1691
2022/03/23,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1,0,1
2023/05/26,862380,TORONTO GW BMF / EUS SS 1023,9,3,4
2023/01/17,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2628,1405,427
2022/11/09,990715,ST. JOHN'S / ILS OH4011,3,0,0
2022/09/26,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1038,1001,7
2023/04/13,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1150,707,167
2023/03/09,800214,ST JOHN'S / ILC 1240,326,314,3
2021/12/22,800509,TORONTO GW BMF / LPS 1021,4,2,1
2021/06/14,862380,TORONTO GW BMF / EUS SS 1023,1,0,1
2022/11/21,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,485,460,18
2022/05/13,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1028,736,158
2022/10/07,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,756,585,65
2022/09/01,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,858,633,68
2022/07/04,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,710,662,19
2022/10/20,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1911,1453,90
2023/04/27,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,851,427,31
2023/01/11,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1813,1236,173
2022/07/28,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,956,632,104
2022/08/05,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,629,398,50
2022/11/28,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,790,708,18
2023/03/24,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1155,668,52
2022/04/21,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,5,0,3
2021/12/08,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,4,2,0
2021/12/30,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,4,2,0
2023/04/26,4588,St.Johns PCU,2,0,0
2023/01/30,990706,BSS 1330 ST JOHN'S ORIGINATING,808,600,126
2022/07/05,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,930,549,158
2022/10/21,990706,BSS 1330 ST JOHN'S ORIGINATING,574,376,33
2023/01/03,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1102,994,62
2022/06/07,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1366,1001,139
2022/12/19,990706,BSS 1330 ST JOHN'S ORIGINATING,1113,858,129
2021/11/30,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,8,7,0
2022/10/03,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1003,962,22
2023/04/12,862380,TORONTO GW BMF / EUS SS 1023,29005,18765,9019
2023/01/04,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,2351,1781,438
2022/03/04,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2022/07/07,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,999,820,91
2022/01/21,800509,TORONTO GW BMF / LPS 1021,1,0,1
2022/09/27,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1939,1490,119
2022/06/06,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1330,1195,85
2023/04/11,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,958,779,21
2023/03/24,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,555,458,53
2023/01/13,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,535,438,52
2022/08/04,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1787,1070,383
2023/01/12,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,656,412,16
2023/03/08,862380,TORONTO GW BMF / EUS SS 1023,27370,20581,5556
2021/11/11,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2,1,0
2022/05/03,862380,TORONTO GW BMF / EUS SS 1023,25911,18069,6275
2022/05/04,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1523,1133,95
2022/05/30,990715,ST. JOHN'S / ILS OH4011,3,0,0
2022/09/21,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2001,929,284
2023/01/12,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,760,424,151
2022/07/08,990715,ST. JOHN'S / ILS OH4011,1,0,0
2023/02/24,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1045,693,190
2022/04/08,990706,BSS 1330 ST JOHN'S ORIGINATING,2,0,1
2022/01/04,990706,BSS 1330 ST JOHN'S ORIGINATING,1,0,0
2021/06/08,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,1,0
2023/01/25,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1081,557,108
2023/02/02,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1355,1008,42
2021/12/31,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,3,2,1
2022/07/13,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1214,891,162
2021/11/19,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2,2,0
2022/08/22,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,925,724,16
2022/10/06,990706,BSS 1330 ST JOHN'S ORIGINATING,610,497,13
2022/12/08,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1621,1348,221
2022/12/05,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1242,1126,97
2023/01/10,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2879,1447,443
2023/05/17,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1,0,0
2022/05/23,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,12,12,0
2023/03/24,862380,TORONTO GW BMF / EUS SS 1023,16664,13801,2394
2022/10/20,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1607,1291,63
2022/05/19,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,809,450,40
2022/07/06,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,608,351,93
2023/03/09,990715,ST. JOHN'S / ILS OH4011,24,0,0
2021/11/30,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1,0,0
2022/06/29,990715,ST. JOHN'S / ILS OH4011,5,0,0
2021/08/20,990706,BSS 1330 ST JOHN'S ORIGINATING,1,1,0
2022/03/28,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,1
2022/08/31,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1087,765,74
2022/09/07,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,880,472,60
2023/04/21,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,969,808,71
2022/10/28,800509,TORONTO GW BMF / LPS 1021,20764,18061,1613
2022/01/18,862380,TORONTO GW BMF / EUS SS 1023,2,1,0
2022/04/26,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,8,3,3
2021/12/02,800509,TORONTO GW BMF / LPS 1021,4,0,2
2022/07/12,990706,BSS 1330 ST JOHN'S ORIGINATING,346,204,14
2022/10/25,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2102,1146,369
2023/04/18,800509,TORONTO GW BMF / LPS 1021,19802,13672,4839
2022/07/13,862380,TORONTO GW BMF / EUS SS 1023,17381,12483,4352
2022/12/22,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1490,1281,119
2022/06/24,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,911,662,23
2022/06/09,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1283,1009,111
2023/02/14,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1891,1144,342
2023/03/17,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1135,656,77
2023/02/06,862380,TORONTO GW BMF / EUS SS 1023,11484,10508,782
2021/06/18,990706,BSS 1330 ST JOHN'S ORIGINATING,1,1,0
2021/07/13,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,0
2022/12/12,990706,BSS 1330 ST JOHN'S ORIGINATING,795,604,116
2023/03/27,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,797,619,6
2023/02/03,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,997,616,40
2021/11/26,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2023/02/08,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2139,1114,343
2022/11/09,990706,BSS 1330 ST JOHN'S ORIGINATING,644,496,31
2022/09/13,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1622,1004,317
2021/08/05,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1,1,0
2023/01/25,800509,TORONTO GW BMF / LPS 1021,15451,12064,2796
2022/09/27,800214,ST JOHN'S / ILC 1240,866,861,1
2022/05/17,800509,TORONTO GW BMF / LPS 1021,30125,23230,6057
2023/01/24,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1468,848,206
2022/11/17,800214,ST JOHN'S / ILC 1240,257,247,2
2023/04/05,990706,BSS 1330 ST JOHN'S ORIGINATING,947,458,57
2022/06/02,990715,ST. JOHN'S / ILS OH4011,4,0,0
2022/09/30,990706,BSS 1330 ST JOHN'S ORIGINATING,5,0,0
2022/06/17,862380,TORONTO GW BMF / EUS SS 1023,20367,16407,2383
2022/04/12,990706,BSS 1330 ST JOHN'S ORIGINATING,6,1,2
2023/05/11,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,556,362,10
2022/12/02,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1770,1040,637
2022/06/16,800509,TORONTO GW BMF / LPS 1021,16009,13303,2244
2023/04/12,990706,BSS 1330 ST JOHN'S ORIGINATING,879,464,98
2022/03/09,862380,TORONTO GW BMF / EUS SS 1023,4,1,1
2023/03/02,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,879,612,54
2023/05/15,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,44,4,0
2023/05/30,990706,BSS 1330 ST JOHN'S ORIGINATING,1,0,0
2022/08/12,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,501,426,16
2021/11/08,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,2,2,0
2022/10/21,862380,TORONTO GW BMF / EUS SS 1023,15603,10980,3483
2022/09/22,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,881,621,61
2022/04/01,862380,TORONTO GW BMF / EUS SS 1023,5,1,1
2022/08/12,800214,ST JOHN'S / ILC 1240,139,138,0
2022/04/06,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1,0,1
2022/07/25,862380,TORONTO GW BMF / EUS SS 1023,21512,18741,1483
2022/01/06,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,4,3,1
2022/06/21,990715,ST. JOHN'S / ILS OH4011,4,0,0
2023/01/06,800509,TORONTO GW BMF / LPS 1021,19945,16626,2530
2023/05/17,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,7,0,1
2023/02/01,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,759,541,56
2022/03/04,800509,TORONTO GW BMF / LPS 1021,1,0,0
2023/03/13,990706,BSS 1330 ST JOHN'S ORIGINATING,858,517,153
2022/10/11,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,705,589,13
2021/11/15,800509,TORONTO GW BMF / LPS 1021,1,0,0
2022/05/26,862380,TORONTO GW BMF / EUS SS 1023,25987,15601,9410
2023/05/10,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1756,1203,109
2022/11/11,800509,TORONTO GW BMF / LPS 1021,13517,5226,7850
2022/07/14,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1515,1020,74
2022/05/30,862380,TORONTO GW BMF / EUS SS 1023,16859,14649,1823
2023/04/25,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1387,1020,139
2021/12/20,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1,1,0
2022/04/27,862380,TORONTO GW BMF / EUS SS 1023,1166,1033,119
2022/07/22,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,566,494,41
2022/12/06,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1853,1013,717
2023/02/23,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1295,739,370
2023/04/27,990706,BSS 1330 ST JOHN'S ORIGINATING,717,430,9
2022/11/17,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1871,1050,504
2022/05/25,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1418,741,363
2023/05/30,800214,ST JOHN'S / ILC 1240,1,0,0
2021/12/15,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,5,2,0
2021/08/12,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,0
2021/06/29,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1,1,0
2022/12/08,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2455,1843,266
2021/11/05,862380,TORONTO GW BMF / EUS SS 1023,5,3,0
2023/05/25,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1,0,0
2021/11/24,800214,ST JOHN'S / ILC 1240,1,0,0
2023/05/18,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1,0,1
2021/06/09,862380,TORONTO GW BMF / EUS SS 1023,3,3,0
2022/10/25,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2720,1597,235
2022/07/06,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1808,1245,168
2022/08/26,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,884,634,18
2022/03/15,800509,TORONTO GW BMF / LPS 1021,4,0,2
2022/11/10,800214,ST JOHN'S / ILC 1240,574,554,3
2023/01/09,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1499,1379,27
2023/04/07,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,15,0,14
2022/07/14,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,525,412,44
2023/03/02,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,321,180,42
2022/07/20,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1336,816,54
2022/07/29,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1269,1100,28
2023/02/20,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,73,12,2
2023/05/11,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1436,1119,34
2022/01/06,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,8,5,0
2022/09/01,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1662,1229,126
2023/04/20,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,580,437,26
2023/02/21,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,963,776,74
2023/01/12,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,712,501,35
2021/12/15,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,3,2,0
2021/07/15,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2022/09/06,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,762,699,21
2023/02/22,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,505,369,72
2022/11/02,990706,BSS 1330 ST JOHN'S ORIGINATING,827,568,14
2022/07/20,862380,TORONTO GW BMF / EUS SS 1023,15140,11682,2925
2023/01/03,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1188,1061,31
2023/03/13,862380,TORONTO GW BMF / EUS SS 1023,13598,11056,1894
2023/04/24,800214,ST JOHN'S / ILC 1240,1520,1398,114
2023/02/01,800509,TORONTO GW BMF / LPS 1021,23228,17045,4996
2023/05/02,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1997,1290,172
2023/01/02,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,373,51,7
2022/09/26,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1100,1038,14
2022/04/08,862380,TORONTO GW BMF / EUS SS 1023,12,6,6
2023/01/03,990715,ST. JOHN'S / ILS OH4011,7,0,0
2022/09/06,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1130,1017,51
2022/05/20,800214,ST JOHN'S / ILC 1240,238,225,0
2022/08/24,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,866,630,86
2022/06/23,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,846,689,58
2023/01/19,800214,ST JOHN'S / ILC 1240,386,375,2
2022/11/29,990706,BSS 1330 ST JOHN'S ORIGINATING,648,490,16
2022/01/07,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,0,0
2022/05/12,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1181,943,47
2022/08/16,800214,ST JOHN'S / ILC 1240,289,278,8
2023/03/09,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,696,519,11
2021/06/01,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2022/03/29,990706,BSS 1330 ST JOHN'S ORIGINATING,2,0,1
2022/05/26,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1774,1162,57
2023/03/02,990715,ST. JOHN'S / ILS OH4011,1,0,0
2021/11/30,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,7,6,0
2021/12/17,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1,0,0
2022/08/09,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1289,933,185
2023/01/10,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1659,940,324
2022/01/04,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,6,0,0
2022/12/30,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1839,1299,338
2022/04/12,990715,ST. JOHN'S / ILS OH4011,1,0,0
2022/11/25,990706,BSS 1330 ST JOHN'S ORIGINATING,353,230,70
2021/12/09,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,2,2,0
2022/08/16,990706,BSS 1330 ST JOHN'S ORIGINATING,400,215,7
2022/10/05,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1995,1214,202
2022/05/11,800214,ST JOHN'S / ILC 1240,128,120,0
2021/12/27,862380,TORONTO GW BMF / EUS SS 1023,2,1,0
2022/04/14,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,3,2,1
2022/07/28,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1244,960,87
2022/04/01,990706,BSS 1330 ST JOHN'S ORIGINATING,14,0,1
2022/12/13,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2813,1673,747
2022/05/30,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1309,1163,38
2022/01/04,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,5,2,0
2022/06/20,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1622,1433,25
2023/03/03,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1068,832,114
2023/03/15,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1525,1218,212
2023/04/24,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1057,931,26
2023/01/03,862380,TORONTO GW BMF / EUS SS 1023,15327,11900,2570
2023/01/30,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1209,1062,20
2022/06/29,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1159,856,109
2023/05/04,990715,ST. JOHN'S / ILS OH4011,31,0,0
2022/08/19,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,527,344,39
2022/07/12,862380,TORONTO GW BMF / EUS SS 1023,25563,17976,6195
