Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/12,1,1022213,Mech Pcls Sort,Process,49028,45.916664
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,2,1022213,Mech Pcls Sort,Process,33705,26.716664
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,3,1022213,Mech Pcls Sort,Process,54112,86.51666
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/13,1,1022213,Mech Pcls Sort,Process,45305,68.083328
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,2,1022213,Mech Pcls Sort,Process,17,13.316666
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,3,1022213,Mech Pcls Sort,Process,57205,64.466661
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/14,1,1022213,Mech Pcls Sort,Process,39894,63.966661
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,2,1022213,Mech Pcls Sort,Process,,7.833333
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,3,1022213,Mech Pcls Sort,Process,47989,47.649997
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/15,3,1022213,Mech Pcls Sort,Process,220,
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/16,1,1022213,Mech Pcls Sort,Process,,3.916666
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,2,1044420,Mech Pcls EUS,Process,17049,
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/10,3,1044420,Mech Pcls EUS,Process,31997,70.583325
L5W 1B0,Toronto Gateway East,2022,15,1,2022/04/11,1,1044420,Mech Pcls EUS,Process,18851,50.749996
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,2,1044420,Mech Pcls EUS,Process,,8.849999
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/11,3,1044420,Mech Pcls EUS,Process,31020,96.983325
L5W 1B0,Toronto Gateway East,2022,15,2,2022/04/12,1,1044420,Mech Pcls EUS,Process,24648,30.683333
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,2,1044420,Mech Pcls EUS,Process,12962,23.133332
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/12,3,1044420,Mech Pcls EUS,Process,30238,99.166657
L5W 1B0,Toronto Gateway East,2022,15,3,2022/04/13,1,1044420,Mech Pcls EUS,Process,21564,38.183333
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,2,1044420,Mech Pcls EUS,Process,22258,34.516661
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/13,3,1044420,Mech Pcls EUS,Process,30679,86.816659
L5W 1B0,Toronto Gateway East,2022,15,4,2022/04/14,1,1044420,Mech Pcls EUS,Process,19182,27
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,2,1044420,Mech Pcls EUS,Process,23523,39.816663
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/14,3,1044420,Mech Pcls EUS,Process,31812,81.449991
L5W 1B0,Toronto Gateway East,2022,15,5,2022/04/15,1,1044420,Mech Pcls EUS,Process,,1
L5W 1B0,Toronto Gateway East,2022,15,6,2022/04/16,1,1044420,Mech Pcls EUS,Process,24342,10.699999
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,2,1044420,Mech Pcls EUS,Process,17027,50.833329
L5W 1B0,Toronto Gateway East,2022,15,7,2022/04/16,3,1044420,Mech Pcls EUS,Process,19343,7.549999
L5W 1B0,Toronto Gateway East,2022,16,1,2022/04/18,1,1022213,Mech Pcls Sort,Process,264,
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/18,2,1022213,Mech Pcls Sort,Process,,0
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/18,3,1022213,Mech Pcls Sort,Process,57272,82.466659
L5W 1B0,Toronto Gateway East,2022,16,2,2022/04/19,1,1022213,Mech Pcls Sort,Process,38957,60.016661
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,2,1022213,Mech Pcls Sort,Process,24396,16.399998
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/19,3,1022213,Mech Pcls Sort,Process,55768,80.333326
L5W 1B0,Toronto Gateway East,2022,16,3,2022/04/20,1,1022213,Mech Pcls Sort,Process,46529,55.816661
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,2,1022213,Mech Pcls Sort,Process,41147,33.116664
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/20,3,1022213,Mech Pcls Sort,Process,50219,82.716659
L5W 1B0,Toronto Gateway East,2022,16,4,2022/04/21,1,1022213,Mech Pcls Sort,Process,51066,41.766661
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,2,1022213,Mech Pcls Sort,Process,35546,42.249995
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/21,3,1022213,Mech Pcls Sort,Process,51237,55.983329
L5W 1B0,Toronto Gateway East,2022,16,5,2022/04/22,1,1022213,Mech Pcls Sort,Process,42889,41.166662
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/22,2,1022213,Mech Pcls Sort,Process,31940,46.549993
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/22,3,1022213,Mech Pcls Sort,Process,44395,83.766663
L5W 1B0,Toronto Gateway East,2022,16,6,2022/04/23,1,1022213,Mech Pcls Sort,Process,41445,35.616665
L5W 1B0,Toronto Gateway East,2022,16,7,2022/04/23,2,1022213,Mech Pcls Sort,Process,23734,24.58333
