Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,4,2,2019/01/21,3,1044414,Manual Packets,Process,2302,18.166659
A1B 3R0,St. John's MPP,2019,4,2,2019/01/22,1,1044414,Manual Packets,Process,777,3.433332
A1B 3R0,St. John's MPP,2019,4,3,2019/01/22,2,1044414,Manual Packets,Process,4423,30.799993
A1B 3R0,St. John's MPP,2019,4,3,2019/01/22,3,1044414,Manual Packets,Process,2025,6.816663
A1B 3R0,St. John's MPP,2019,4,3,2019/01/23,1,1044414,Manual Packets,Process,1656,10.599998
A1B 3R0,St. John's MPP,2019,4,4,2019/01/23,2,1044414,Manual Packets,Process,6674,29.033326
A1B 3R0,St. John's MPP,2019,4,4,2019/01/23,3,1044414,Manual Packets,Process,4646,18.166662
A1B 3R0,St. John's MPP,2019,4,4,2019/01/24,1,1044414,Manual Packets,Process,632,6.816664
A1B 3R0,St. John's MPP,2019,4,5,2019/01/24,2,1044414,Manual Packets,Process,5060,33.299994
A1B 3R0,St. John's MPP,2019,4,5,2019/01/24,3,1044414,Manual Packets,Process,2350,14.783328
A1B 3R0,St. John's MPP,2019,4,5,2019/01/25,1,1044414,Manual Packets,Process,1157,11.23333
A1B 3R0,St. John's MPP,2019,4,6,2019/01/25,2,1044414,Manual Packets,Process,6598,24.616661
A1B 3R0,St. John's MPP,2019,4,6,2019/01/25,3,1044414,Manual Packets,Process,1270,13.916663
A1B 3R0,St. John's MPP,2019,4,7,2019/01/26,2,1044414,Manual Packets,Process,4975,13.083329
A1B 3R0,St. John's MPP,2019,4,7,2019/01/26,3,1044414,Manual Packets,Process,368,0
A1B 3R0,St. John's MPP,2019,5,1,2019/01/27,3,1044414,Manual Packets,Process,6210,6.516663
A1B 3R0,St. John's MPP,2019,5,1,2019/01/28,1,1044414,Manual Packets,Process,644,11.849997
A1B 3R0,St. John's MPP,2019,5,2,2019/01/28,2,1044414,Manual Packets,Process,4140,18.599996
A1B 3R0,St. John's MPP,2019,5,2,2019/01/28,3,1044414,Manual Packets,Process,1583,15.616661
A1B 3R0,St. John's MPP,2019,5,2,2019/01/29,1,1044414,Manual Packets,Process,1288,8.249999
A1B 3R0,St. John's MPP,2019,5,3,2019/01/29,2,1044414,Manual Packets,Process,3587,36.333322
A1B 3R0,St. John's MPP,2019,5,3,2019/01/29,3,1044414,Manual Packets,Process,1192,11.766662
A1B 3R0,St. John's MPP,2019,5,3,2019/01/30,1,1044414,Manual Packets,Process,1764,9.716663
