Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,4,2,2019/01/21,3,1044413,Manual Parcels,Process,1457,17.033328
A1B 3R0,St. John's MPP,2019,4,2,2019/01/22,1,1044413,Manual Parcels,Process,1518,10.633332
A1B 3R0,St. John's MPP,2019,4,3,2019/01/22,2,1044413,Manual Parcels,Process,1391,14.966662
A1B 3R0,St. John's MPP,2019,4,3,2019/01/22,3,1044413,Manual Parcels,Process,1249,15.049994
A1B 3R0,St. John's MPP,2019,4,3,2019/01/23,1,1044413,Manual Parcels,Process,581,6.549998
A1B 3R0,St. John's MPP,2019,4,4,2019/01/23,2,1044413,Manual Parcels,Process,3133,27.44999
A1B 3R0,St. John's MPP,2019,4,4,2019/01/23,3,1044413,Manual Parcels,Process,843,11.816663
A1B 3R0,St. John's MPP,2019,4,4,2019/01/24,1,1044413,Manual Parcels,Process,1752,8.349997
A1B 3R0,St. John's MPP,2019,4,5,2019/01/24,2,1044413,Manual Parcels,Process,2662,13.999996
A1B 3R0,St. John's MPP,2019,4,5,2019/01/24,3,1044413,Manual Parcels,Process,1161,15.283328
A1B 3R0,St. John's MPP,2019,4,5,2019/01/25,1,1044413,Manual Parcels,Process,1210,5.433332
A1B 3R0,St. John's MPP,2019,4,6,2019/01/25,2,1044413,Manual Parcels,Process,3387,19.26666
A1B 3R0,St. John's MPP,2019,4,6,2019/01/25,3,1044413,Manual Parcels,Process,856,8.433328
A1B 3R0,St. John's MPP,2019,4,7,2019/01/26,2,1044413,Manual Parcels,Process,2504,14.583326
A1B 3R0,St. John's MPP,2019,4,7,2019/01/26,3,1044413,Manual Parcels,Process,228,1.966666
A1B 3R0,St. John's MPP,2019,5,1,2019/01/27,3,1044413,Manual Parcels,Process,3200,34.733325
A1B 3R0,St. John's MPP,2019,5,1,2019/01/28,1,1044413,Manual Parcels,Process,1460,9.899999
A1B 3R0,St. John's MPP,2019,5,2,2019/01/28,2,1044413,Manual Parcels,Process,276,5.083327
A1B 3R0,St. John's MPP,2019,5,2,2019/01/28,3,1044413,Manual Parcels,Process,2145,28.149993
A1B 3R0,St. John's MPP,2019,5,2,2019/01/29,1,1044413,Manual Parcels,Process,2479,12.616664
A1B 3R0,St. John's MPP,2019,5,3,2019/01/29,2,1044413,Manual Parcels,Process,780,14.216658
A1B 3R0,St. John's MPP,2019,5,3,2019/01/29,3,1044413,Manual Parcels,Process,1577,25.599996
A1B 3R0,St. John's MPP,2019,5,3,2019/01/30,1,1044413,Manual Parcels,Process,1658,13.066665
A1B 3R0,St. John's MPP,2019,5,4,2019/01/30,2,1044413,Manual Parcels,Process,2320,17.999991
A1B 3R0,St. John's MPP,2019,5,4,2019/01/30,3,1044413,Manual Parcels,Process,1773,14.899995
A1B 3R0,St. John's MPP,2019,5,4,2019/01/31,1,1044413,Manual Parcels,Process,1562,11.516663
A1B 3R0,St. John's MPP,2019,5,5,2019/01/31,2,1044413,Manual Parcels,Process,651,10.999995
A1B 3R0,St. John's MPP,2019,5,5,2019/01/31,3,1044413,Manual Parcels,Process,830,10.149996
A1B 3R0,St. John's MPP,2019,5,5,2019/02/01,1,1044413,Manual Parcels,Process,1226,9.199999
A1B 3R0,St. John's MPP,2019,5,6,2019/02/01,2,1044413,Manual Parcels,Process,1290,16.116663
A1B 3R0,St. John's MPP,2019,5,6,2019/02/01,3,1044413,Manual Parcels,Process,801,11.383329
A1B 3R0,St. John's MPP,2019,5,7,2019/02/02,2,1044413,Manual Parcels,Process,2468,9.983329
A1B 3R0,St. John's MPP,2019,5,7,2019/02/02,3,1044413,Manual Parcels,Process,989,4.033332
A1B 3R0,St. John's MPP,2019,6,1,2019/02/03,3,1044413,Manual Parcels,Process,2878,28.416661
A1B 3R0,St. John's MPP,2019,6,1,2019/02/04,1,1044413,Manual Parcels,Process,2257,21.699993
A1B 3R0,St. John's MPP,2019,6,2,2019/02/04,2,1044413,Manual Parcels,Process,2430,13.283326
A1B 3R0,St. John's MPP,2019,6,2,2019/02/04,3,1044413,Manual Parcels,Process,2207,28.683323
A1B 3R0,St. John's MPP,2019,6,2,2019/02/05,1,1044413,Manual Parcels,Process,,8.749997
A1B 3R0,St. John's MPP,2019,6,3,2019/02/05,2,1044413,Manual Parcels,Process,2804,23.383327
A1B 3R0,St. John's MPP,2019,6,3,2019/02/05,3,1044413,Manual Parcels,Process,2129,16.849996
A1B 3R0,St. John's MPP,2019,6,3,2019/02/06,1,1044413,Manual Parcels,Process,681,3.766663
A1B 3R0,St. John's MPP,2019,6,4,2019/02/06,2,1044413,Manual Parcels,Process,2216,19.633324
A1B 3R0,St. John's MPP,2019,6,4,2019/02/06,3,1044413,Manual Parcels,Process,2225,23.049992
A1B 3R0,St. John's MPP,2019,6,4,2019/02/07,1,1044413,Manual Parcels,Process,1391,6.166661
A1B 3R0,St. John's MPP,2019,6,5,2019/02/07,2,1044413,Manual Parcels,Process,2204,22.599992
A1B 3R0,St. John's MPP,2019,6,5,2019/02/07,3,1044413,Manual Parcels,Process,1620,21.283326
A1B 3R0,St. John's MPP,2019,6,5,2019/02/08,1,1044413,Manual Parcels,Process,1062,5.899995
A1B 3R0,St. John's MPP,2019,6,6,2019/02/08,2,1044413,Manual Parcels,Process,3122,15.666661
A1B 3R0,St. John's MPP,2019,6,6,2019/02/08,3,1044413,Manual Parcels,Process,965,16.18333
A1B 3R0,St. John's MPP,2019,6,7,2019/02/09,2,1044413,Manual Parcels,Process,582,11.766662
A1B 3R0,St. John's MPP,2019,6,7,2019/02/09,3,1044413,Manual Parcels,Process,29,1
A1B 3R0,St. John's MPP,2019,7,1,2019/02/10,3,1044413,Manual Parcels,Process,1916,21.433327
A1B 3R0,St. John's MPP,2019,7,1,2019/02/11,1,1044413,Manual Parcels,Process,1,0.116666
A1B 3R0,St. John's MPP,2019,7,2,2019/02/11,2,1044413,Manual Parcels,Process,318,1.083332
A1B 3R0,St. John's MPP,2019,7,2,2019/02/11,3,1044413,Manual Parcels,Process,1489,16.749995
A1B 3R0,St. John's MPP,2019,7,2,2019/02/12,1,1044413,Manual Parcels,Process,,0.1
A1B 3R0,St. John's MPP,2019,7,3,2019/02/12,2,1044413,Manual Parcels,Process,802,8.349994
A1B 3R0,St. John's MPP,2019,7,3,2019/02/12,3,1044413,Manual Parcels,Process,895,11.116662
A1B 3R0,St. John's MPP,2019,7,4,2019/02/13,2,1044413,Manual Parcels,Process,2397,19.116659
A1B 3R0,St. John's MPP,2019,7,4,2019/02/13,3,1044413,Manual Parcels,Process,1566,22.383326
A1B 3R0,St. John's MPP,2019,7,4,2019/02/14,1,1044413,Manual Parcels,Process,950,10.049992
A1B 3R0,St. John's MPP,2019,7,5,2019/02/14,2,1044413,Manual Parcels,Process,2986,23.883325
A1B 3R0,St. John's MPP,2019,7,5,2019/02/14,3,1044413,Manual Parcels,Process,1518,22.166661
A1B 3R0,St. John's MPP,2019,7,5,2019/02/15,1,1044413,Manual Parcels,Process,790,10.366663
A1B 3R0,St. John's MPP,2019,7,6,2019/02/15,2,1044413,Manual Parcels,Process,486,5.649997
A1B 3R0,St. John's MPP,2019,7,6,2019/02/15,3,1044413,Manual Parcels,Process,686,19.633328
A1B 3R0,St. John's MPP,2019,7,7,2019/02/16,2,1044413,Manual Parcels,Process,2473,14.866661
A1B 3R0,St. John's MPP,2019,7,7,2019/02/16,3,1044413,Manual Parcels,Process,796,5.933333
A1B 3R0,St. John's MPP,2019,8,1,2019/02/17,3,1044413,Manual Parcels,Process,4074,33.233325
A1B 3R0,St. John's MPP,2019,8,1,2019/02/18,1,1044413,Manual Parcels,Process,2740,26.21666
A1B 3R0,St. John's MPP,2019,8,2,2019/02/18,2,1044413,Manual Parcels,Process,2086,13.083328
A1B 3R0,St. John's MPP,2019,8,2,2019/02/18,3,1044413,Manual Parcels,Process,2775,36.716662
A1B 3R0,St. John's MPP,2019,8,2,2019/02/19,1,1044413,Manual Parcels,Process,1256,17.266664
A1B 3R0,St. John's MPP,2019,8,3,2019/02/19,2,1044413,Manual Parcels,Process,3218,29.283327
A1B 3R0,St. John's MPP,2019,8,3,2019/02/19,3,1044413,Manual Parcels,Process,1020,14.466661
A1B 3R0,St. John's MPP,2019,8,3,2019/02/20,1,1044413,Manual Parcels,Process,,1.666665
A1B 3R0,St. John's MPP,2019,8,4,2019/02/20,2,1044413,Manual Parcels,Process,772,7.716662
A1B 3R0,St. John's MPP,2019,8,4,2019/02/20,3,1044413,Manual Parcels,Process,787,10.916661
A1B 3R0,St. John's MPP,2019,8,4,2019/02/21,1,1044413,Manual Parcels,Process,,0.366666
A1B 3R0,St. John's MPP,2019,8,5,2019/02/21,2,1044413,Manual Parcels,Process,940,8.483332
A1B 3R0,St. John's MPP,2019,8,5,2019/02/21,3,1044413,Manual Parcels,Process,581,8.149996
A1B 3R0,St. John's MPP,2019,8,5,2019/02/22,1,1044413,Manual Parcels,Process,1562,9.866661
A1B 3R0,St. John's MPP,2019,8,6,2019/02/22,2,1044413,Manual Parcels,Process,2377,22.049987
A1B 3R0,St. John's MPP,2019,8,6,2019/02/22,3,1044413,Manual Parcels,Process,2465,34.466654
A1B 3R0,St. John's MPP,2019,8,7,2019/02/23,2,1044413,Manual Parcels,Process,2566,24.866661
A1B 3R0,St. John's MPP,2019,8,7,2019/02/23,3,1044413,Manual Parcels,Process,919,4.75
A1B 3R0,St. John's MPP,2019,9,1,2019/02/24,3,1044413,Manual Parcels,Process,1671,23.249993
A1B 3R0,St. John's MPP,2019,9,1,2019/02/25,1,1044413,Manual Parcels,Process,3070,18.133331
A1B 3R0,St. John's MPP,2019,9,2,2019/02/25,2,1044413,Manual Parcels,Process,1950,19.933328
A1B 3R0,St. John's MPP,2019,9,2,2019/02/25,3,1044413,Manual Parcels,Process,1046,18.616661
A1B 3R0,St. John's MPP,2019,9,2,2019/02/26,1,1044413,Manual Parcels,Process,,7.883331
A1B 3R0,St. John's MPP,2019,9,3,2019/02/26,2,1044413,Manual Parcels,Process,1087,8.633331
A1B 3R0,St. John's MPP,2019,9,3,2019/02/26,3,1044413,Manual Parcels,Process,845,12.899992
A1B 3R0,St. John's MPP,2019,9,3,2019/02/27,1,1044413,Manual Parcels,Process,1,
A1B 3R0,St. John's MPP,2019,9,4,2019/02/27,2,1044413,Manual Parcels,Process,708,17.249995
A1B 3R0,St. John's MPP,2019,9,4,2019/02/27,3,1044413,Manual Parcels,Process,645,17.883329
A1B 3R0,St. John's MPP,2019,9,5,2019/02/28,2,1044413,Manual Parcels,Process,860,10.28333
A1B 3R0,St. John's MPP,2019,9,5,2019/02/28,3,1044413,Manual Parcels,Process,625,12.699995
A1B 3R0,St. John's MPP,2019,9,6,2019/03/01,2,1044413,Manual Parcels,Process,843,11.38333
A1B 3R0,St. John's MPP,2019,9,6,2019/03/01,3,1044413,Manual Parcels,Process,652,12.866663
A1B 3R0,St. John's MPP,2019,9,7,2019/03/02,2,1044413,Manual Parcels,Process,3377,21.549992
A1B 3R0,St. John's MPP,2019,9,7,2019/03/02,3,1044413,Manual Parcels,Process,1479,4.199998
A1B 3R0,St. John's MPP,2019,10,1,2019/03/03,2,1044413,Manual Parcels,Process,2369,20.416662
A1B 3R0,St. John's MPP,2019,10,1,2019/03/03,3,1044413,Manual Parcels,Process,2089,20.499991
A1B 3R0,St. John's MPP,2019,10,1,2019/03/04,1,1044413,Manual Parcels,Process,2367,14.716661
A1B 3R0,St. John's MPP,2019,10,2,2019/03/04,2,1044413,Manual Parcels,Process,3257,22.699993
A1B 3R0,St. John's MPP,2019,10,2,2019/03/04,3,1044413,Manual Parcels,Process,2467,38.216658
A1B 3R0,St. John's MPP,2019,10,2,2019/03/05,1,1044413,Manual Parcels,Process,,5.316665
A1B 3R0,St. John's MPP,2019,10,3,2019/03/05,2,1044413,Manual Parcels,Process,192,8.116665
A1B 3R0,St. John's MPP,2019,10,3,2019/03/05,3,1044413,Manual Parcels,Process,1519,15.766663
A1B 3R0,St. John's MPP,2019,10,3,2019/03/06,1,1044413,Manual Parcels,Process,657,3.149999
A1B 3R0,St. John's MPP,2019,10,4,2019/03/06,2,1044413,Manual Parcels,Process,2700,20.749992
A1B 3R0,St. John's MPP,2019,10,4,2019/03/06,3,1044413,Manual Parcels,Process,2028,32.76666
A1B 3R0,St. John's MPP,2019,10,4,2019/03/07,1,1044413,Manual Parcels,Process,1816,12.116663
A1B 3R0,St. John's MPP,2019,10,5,2019/03/07,2,1044413,Manual Parcels,Process,2745,21.649993
A1B 3R0,St. John's MPP,2019,10,5,2019/03/07,3,1044413,Manual Parcels,Process,647,13.099997
A1B 3R0,St. John's MPP,2019,10,5,2019/03/08,1,1044413,Manual Parcels,Process,1123,6.316665
A1B 3R0,St. John's MPP,2019,10,6,2019/03/08,2,1044413,Manual Parcels,Process,1101,7.966665
A1B 3R0,St. John's MPP,2019,10,6,2019/03/08,3,1044413,Manual Parcels,Process,2032,10.916664
A1B 3R0,St. John's MPP,2019,10,7,2019/03/09,2,1044413,Manual Parcels,Process,2362,13.249996
A1B 3R0,St. John's MPP,2019,10,7,2019/03/09,3,1044413,Manual Parcels,Process,146,4.066666
A1B 3R0,St. John's MPP,2019,11,1,2019/03/10,3,1044413,Manual Parcels,Process,519,7.649999
A1B 3R0,St. John's MPP,2019,11,1,2019/03/11,1,1044413,Manual Parcels,Process,3085,20.866659
A1B 3R0,St. John's MPP,2019,11,2,2019/03/11,2,1044413,Manual Parcels,Process,2063,14.399997
